Titre construit,1er responsable,Responsables,Code-barres,Cote,Résumé (notice),Genre
Aga,"Lazarov, Milko",Milko Lazarov ...,2171838,DVD AGA,"La cinquantaine, Nanouk et Sedna vivent harmonieusement le quotidien traditionnel d'un couple du Grand Nord. Jour après jour, le rythme séculaire qui ordonnait leur vie et celle de leurs ancêtres vacille. Nanouk et Sedna vont devoir se confronter à un nouveau monde qui leur est inconnu. En bonus : Documentaire : Oymyakon, bande-annonce.",Histoire vraie
Aïlo - Une odyssée en Laponie,"Maidatchevsky, Guillaume",Guillaume Maidatchevsky ...,2171560,DVDJ AIL,"""Aïlo - Une odyssée en Laponie"" raconte le combat pour la survie d'un petit renne sauvage, frêle et vulnérable face aux épreuves qui jalonnent sa première année. Son éveil au monde sauvage est un véritable conte au coeur des paysages grandioses de Laponie. En bonus : Les coulisses de l'enregistrement avec Aldebert, clip.",Action
"Aimer, boire et chanter","Resnais, Alain",Alain Resnais ...,2132162,DVD AIM,"Au grand désarroi des époux de Monica, Tamara et Kathryn, George exerce une étrange séduction sur les trois femmes... Un vaudeville drôle, léger et réjouissant, pour cette dernière pirouette d'un magicien du cinéma avant son adieu à la scène...",Comédie
Ali & Ava,"Barnard, Clio",Clio Barnard ...,2180226,DVD ALI,"Ali et Ava n'avaient aucune raison de se rencontrer. Blessés par la vie, c'est leur affection commune pour Sofia, une jeune fille dont Ava est l'assistante scolaire qui les fait se croiser. De là va naître un lien profond au-delà des différences sociales et culturelles.",Policier et espionnage
Alice au pays des merveilles,"McLeod, Norman Z. (1898 - 1964)",Norman Z. McLeod ...,2188232,DVDJ ALI,"Alors qu'elle s'ennuie un après-midi, Alice rêve qu'elle visite le monde de l'autre côté du miroir...D'après Lewis Caroll",Drame
Alice et le maire,"Pariser, Nicolas","Nicolas Pariser, Benjamin Esdraffo ...",2177427,DVD ALI,"Le maire de Lyon, Paul Théraneau, va mal. Il n'a plus une seule idée. Après trente ans de vie politique, il se sent complètement vide. Pour remédier à ce problème, on décide de lui adjoindre une jeune et brillante philosophe, Alice Heimann. Un dialogue se noue, qui rapproche Alice et le maire et ébranle leurs certitudes.",Drame
Alice T.,"Muntean, Radu",Radu Muntean ...,2171684,DVD ALI,"En pleine crise d'adolescence, Alice souhaite profiter de la vie comme elle l'entend au grand dam de Bogdana, sa mère adoptive. Lors d'une de leurs disputes, celle-ci découvre qu'Alice est enceinte. Cet aveu affecte Bogdana qui a longtemps essayé d'avoir un enfant. Ce qui semble être une épreuve va pourtant renforcer leurs liens...",Fantasy / Merveilleux
Aline,"Lemercier, Valérie (1964 - ...)",Valérie Lemercier ...,2185348,DVD ALI,"Québec, fin des années 60. Sylvette et Anglomard accueillent leur 14ème enfant : Aline. Dans la famille Dieu, la musique est reine et quand Aline grandit on lui découvre un don, elle a une voix en or. Lorsqu'il entend cette voix, le producteur de musique Guy-Claude n'a plus qu'une idée en tête... faire d'Aline la plus grande chanteuse au monde. Epaulée par sa famille et guidée par l'expérience puis l'amour naissant de Guy-Claude, ils vont ensemble écrire les pages d'un destin hors du commun.",Historique
Alps,"Filippou, Efthimis",Yorgos Lanthimos ...,2132682,DVD ALP,"ALPS est le nom d'une société secrète. ALPS propose d'étranges services au moment du décès d'un proche. Est-ce qu'il s'agit de tromper la mort ou la vie ? Qu'importe, avant tout, il s'agit d'obéir à Mont Blanc. Et pour Mont Blanc, il faut respecter les règles, toutes les règles.",Drame
Amadeus,"Forman, Milos",Milos Forman ...,2171138,DVD AMA,"En 1781, arrive à Vienne un jeune artiste prodige précédé d'une enviable réputation : Wolfgang Amadeus Mozart. Accueilli avec scepticisme ou enthousiasme à la cour de l'empereur Joseph, il se fait l'ennemi acharné d'Antonio Salieri, musicien réputé et compositeur officiel de sa majesté. Ce dernier se sentant trahi par Dieu décide de faire obstacle à Mozart par tous les moyens...d'après la pièce de Peter Shaffer. 8 Oscars dont meilleur film, meilleur réalisateur, meilleur scénario adapté, meilleur acteur (F. Murray Abraham) et meilleurs costumes, Etats-Unis, 1984, César du meilleur film étranger, France, 1984, Golden Globes du meilleur film dramatique, du meilleur réalisateur, du meilleur scénario et du meilleur acteur (F. Murray Abraham), Etats-Unis, 1985, 4 BAFTA Awards dont meilleure photographie et meilleur son, Grande-Bretagne, 1986,",Historique
Amanda,"Hed, Mikael (1976 - ...)",Mikael Hed ...,2171224,DVD AMA,"Paris, de nos jours. David, 24 ans, vit au présent. Il jongle entre différents petits boulots et recule, pour un temps encore l'heure des choix plus engageants. Le cours tranquille des choses vole en éclats quand sa soeur aînée meurt brutalement. Il se retrouve alors en charge de sa nièce de 7 ans, Amanda. 1 brochure (16 pages) contenant des entretiens avec Mikhaël Hers et Vincent Lacoste. Isaure et Amanda : les étapes du casting (7'). Musique originale (24'). Dream Girl : bande-annonce du Festival International du film de Bordeaux 2016 (6'). Bandes-annonces.",Drame
Amarcord,"Fellini, Federico",Federico Fellini ...,2055617,DVD AMA,"Un village italien peuplé de personnages pittoresques et attendrissants... Fellini évoque sa jeunesse dans l'Italie des années 30, un film mélancolique et drôle.. Infos DVD : DVD 9 / 2.40 / 5.1 ou 1.0 / LG : Fra, Ang, Ita / S-T : Fra, Eng, Ita, Ger, Spa, Tur, Nld, Fin, Hun + Eng et Ita pour malentendants / Bande-annonce originale.",Science-fiction
Amare amaro,"Paolini, Julien (1986 - ....)",Julien Paolini ...,2188715,DVD AMA,"Gaetano, jeune homme taciturne, vit au chevet de son père dont il gère seul la boulangerie. Malgré le succès de ses baguettes, le jeune français né de mère sicilienne n'a jamais été intégré par la communauté du petit village sicilien. Lorsque son frère aîné, truand notoire, décède au cours d'un crime vengeur qu'il provoque en causant la mort de deux personnes, Gaetano choisit d'assumer ses responsabilités familiales et de l'enterrer près de sa mère. Mais sur l'île, le poids de la tradition est omniprésent. Grand prix au Festival du film policier de Cognac, France, 2018 ""Sec et sans une once de fioritures, ""Amare Amaro"" révèle les talents de cinéaste de Julien Paolini. Un réalisateur à surveiller avec attention."" L'Express - Antoine Le Fur ""Magnifique et sombre comme une tragédie antique."" Les Fiches du Cinéma - Gilles Tourman",Policier et espionnage
Amazonia,"Ragobert, Thierry",Thierry Ragobert ...,2130004,DVDJ AMA,Il va devoir s'adapter à cet univers inconnu et entamer un long voyage qui lui permettra de découvrir enfin sa seule chance de survie : une place parmi les siens... Une fiction 100 % animalière magnifiée par les décors naturels...,Drame
Amen,"Costa-gavras, Constantin",Constantin Costa-gavras ...,2090577,DVD AME,"Un officier allemand protestant et un jésuite alertent le Vatican au sujet de l'extermination des juifs, mais se heurtent au silence. Pour méditer sur le rôle de l'Eglise durant l'Holocauste. Bandes-annonces, commentaires audio (Costa-Gavras et Jean-Claude Grumberg, co-scénariste).",Drame
American Bluff,"Russell, David O.",David O. Russell ...,2133028,DVD AME,"Un escroc particulièrement brillant, Irving Rosenfeld, et sa belle complice, Sydney Prosser, se retrouvent obligés par un agent du FBI, Richie DiMasor, de nager dans les eaux troubles de la mafia et du pouvoir pour piéger un homme politique corrompu, Carmine Polito. Mais l'imprévisible épouse d'Irving, Rosalyn, pourrait bien elle aussi tirer les ficelles...",Policier et espionnage
Amerrika,"Dabis, Cherien",Cherien Dabis ...,2095304,DVD AME,"La difficile installation d'une Palestinienne et de son fils en Illinois, au début de la guerre d'Irak. Sur l'exil, les conséquences du 11 septembre, les territoires occupés, un premier film touchant.",Film de guerre
Amin,"Faucon, Philippe",Philippe Faucon ...,2169929,DVD AMI,"Amin est venu du Sénégal pour travailler en France, il y a neuf ans. Il a laissé au pays sa femme Aïcha et leurs trois enfants. En France, Amin n'a d'autre vie que son travail, d'autres amis que les hommes qui résident au foyer. Aïcha ne voit son mari qu'une à deux fois par an, pour une ou deux semaines, parfois un mois. Elle accepte cette situation comme une nécessité de fait : l'argent qu'Amin envoie au Sénégal fait vivre plusieurs personnes. Un jour, en France, Amin rencontre Gabrielle et une liaison se noue. Au début, Amin est très retenu. Il y a le problème de la langue, de la pudeur. Jusque-là, séparé de sa femme, il menait une vie consacrée au devoir et savait qu'il fallait rester vigilant. En Bonus : Entretien avec Philippe Faucon et Moustapha Mbengue, essais comédiens, essais costumes, scènes coupées.",Expérimental
Ammonite,"Lee, Francis",Francis Lee ...,2195024,DVD AMM,"1840. Mary Anning fut une paléontologue renommée mais vit aujourd'hui modestement avec sa mère sur la côte sud et sauvage de l'Angleterre. Mary glane des ammonites sur la plage et les vend à des touristes fortunés. L'un d'eux, en partance pour un voyage d'affaires, lui demande de prendre en pension son épouse convalescente, Charlotte. C'est le début d'une histoire d'amour passionnée qui défiera toutes les barrières sociales et changera leurs vies à jamais. Entretien avec Francis Lee, Entretien avec Kate Winslet. """"Ammonite"" touche là où on l'attend le moins. Un film à la synergie évidente, aimant associer le naturalisme à une forme de vertige ardent. Une romance silencieuse, à l'agonie, toujours juste dans le sentiment convoqué. Kate Winslet dans son meilleur rôle depuis ""The reader""."" aVoir-aLire.com - Julien Rocher ""L'ensemble cohérent avec le coeur de son sujet fait d'""Ammonite"" une jolie réussite, malgré son trop grand académisme. Il n'en est pas moins agréable de voir l'humilité et la justesse d'un cinéaste plein de promesses."" Ecran Large - Salim Belghache",Policier et espionnage
Amour,"Haneke, Michael",Michael Haneke ...,2118779,DVD AMO,"Georges et Anne sont un couple d'octogénaires, toujours unis par un grand amour. Quand Anne est paralysée à la suite d'une attaque, Georges prend soin d'elle. Huis clos implacable sur le dernier face-à-face, radiographie du couple et magnifique histoire d'amour.","Romance, sentimental"
Amours cannibales,"Cuenca, Manuel Martin (1960 - ...)",Manuel Martin Cuenca ...,2138072,DVD AMO,"Carlos, prestigieux tailleur vivant à Grenade, est également un meurtrier à la monomanie singulière. Lorsque Nina, une jeune Roumaine à la recherche de sa soeur jumelle, apparaît dans sa vie, il tombe pour la première fois amoureux. Un sentiment qui met en péril son éprouvant secret...","Romance, sentimental"
Amours irlandaises,"Shanley, John Patrick (1950 - .....)",John Patrick Shanley ...,2188650,DVD AMO,"Rosemary, une agricultrice irlandaise, a été toute sa vie amoureuse de son voisin Anthony. Mais celui-ci ne s'en est jamais rendu compte. Pendant ce temps, le père d'Anthony a prévu de vendre la ferme familiale à son neveu américain.","Romance, sentimental"
An elephant sitting still,"Hu, Bo (1997 - 2017)",Bo Hu ...,2177442,DVD ELE,"Au nord de la Chine, une vaste ville post-industrielle, plongée dans un brouillard perpétuel. Un matin, une simple altercation entre deux lycéens dégénère et va souder les destins de quatre individus brisés par l'égoïsme familial et la violence sociale. Une obsession commune les unit : fuir vers la ville de Manzhouli. On raconte que là-bas, un éléphant reste assis toute la journée, immobile...",Policier et espionnage
Anatomie d'une chute,"Triet, Justine (1978 - ...)",Justine Triet ...,2197676,DVD ANA,"Sandra, Samuel et leur fils malvoyant de 11 ans, Daniel, vivent depuis un an loin de tout, à la montagne. Un jour, Samuel est retrouvé mort au pied de leur maison. Une enquête pour mort suspecte est ouverte. Sandra est bientôt inculpée malgré le doute : suicide ou homicide ? Un an plus tard, Daniel assiste au procès de sa mère, véritable dissection du couple.",Policier et espionnage
Angela Schanelec 1991-2007 : Le bonheur de ma sooeur - Des places dans les villes - Marseille - Après-midi + 3 courts-métrages,"Schanelec, Angela (1962 - ....)",Angela Schanelec ...,2188720,DVD SCH,"Regroupe quatre longs métrages : ""Après-midi"" (2007, 1 h 37 min) ; ""Marseille"" (2003, 1 h 32 min) ; ""Des places dans la ville"" (1998, 2 h) ; ""Le bonheur de ma sœur"" (1995, 1 h 20 min). Et trois courts métrages : ""Prague, mars 92"" (1992, 15 min) ; ""Une belle couleur jaune"" (1991, 5 min) ; ""Loin"" (1991, 9 min).",Drame
Annie Colère,"Lenoir, Blandine (1973 - ...)",Blandine Lenoir ...,2197400,DVD ANN,"Février 1974. Parce qu'elle se retrouve enceinte accidentellement, Annie, ouvrière et mère de deux enfants, rencontre le MLAC, Mouvement pour la Liberté de l'Avortement et de la Contraception, qui pratique les avortements illégaux aux yeux de tous. Accueillie par ce mouvement unique, fondé sur l'aide concrète aux femmes et le partage des savoirs, elle va trouver dans la bataille pour l'adoption de la loi sur l'avortement un nouveau sens à sa vie.",Film de guerre
